name,owner_login,owner_type,language,stargazers_count,forks_count,open_issues_count,size_kb,license_name,has_wiki,is_fork,archived,created_at
ChatGLM-6B,zai-org,Organization,Python,40968,5105,605,9362,Apache-2.0,False,False,False,2023-03-13T12:00:18Z
manim,ManimCommunity,Organization,Python,40725,3097,498,48170,MIT,True,False,False,2020-05-19T02:37:13Z
AstrBot,AstrBotDevs,Organization,Python,40255,2898,1486,73079,AGPL-3.0,True,False,False,2022-12-08T13:27:46Z
nature-skills,Yuan1z0825,User,Python,40253,2191,2,39728,Apache-2.0,True,False,False,2026-04-24T03:11:46Z
bert,google-research,Organization,Python,40042,9674,880,317,Apache-2.0,True,False,True,2018-10-25T22:57:34Z
ChatTTS,2noise,Organization,Python,39822,4248,61,10772,AGPL-3.0,True,False,False,2024-05-27T18:26:49Z
posthog,PostHog,Organization,Python,39691,3362,5585,6839160,NOASSERTION,False,False,False,2020-01-23T22:46:58Z
marker,datalab-to,Organization,Python,39606,2860,465,21007,Apache-2.0,True,False,False,2023-10-30T20:14:08Z
Deep-Learning-Papers-Reading-Roadmap,floodsung,User,Python,39555,7258,91,3638,,True,False,False,2016-10-14T11:49:48Z
FastChat,lm-sys,Organization,Python,39527,4776,1045,35323,Apache-2.0,False,False,False,2023-03-19T00:18:02Z
agents,wshobson,User,Python,39512,4212,7,6413,MIT,True,False,False,2025-07-24T23:28:14Z
LightRAG,HKUDS,Organization,Python,39506,5557,236,115648,MIT,False,False,False,2024-10-02T11:57:54Z
quivr,The-Vibe-Company,Organization,Python,39498,3728,37,130697,NOASSERTION,False,False,False,2023-05-12T23:53:30Z
DeepTutor,HKUDS,Organization,Python,39079,4921,169,256047,Apache-2.0,False,False,False,2025-12-28T15:35:54Z
erpnext,frappe,Organization,Python,39037,12737,1828,1883725,GPL-3.0,True,False,False,2011-06-08T08:20:56Z
python-cheatsheet,gto76,User,Python,38654,6697,0,13872,,True,False,False,2018-01-25T04:16:53Z
Langchain-Chatchat,chatchat-space,Organization,Python,38626,6269,27,144496,Apache-2.0,True,False,False,2023-03-31T12:12:45Z
Kronos,shiyu-coder,User,Python,38580,6437,271,9539,MIT,True,False,False,2025-07-01T02:54:32Z
langextract,google,Organization,Python,38553,2705,130,12736,Apache-2.0,False,False,False,2025-07-08T20:46:06Z
cli,httpie,Organization,Python,38487,3999,337,6925,BSD-3-Clause,False,False,False,2012-02-25T12:39:13Z
sqlmap,sqlmapproject,Organization,Python,38387,6358,32,98304,NOASSERTION,True,False,False,2012-06-26T09:52:15Z
Retrieval-based-Voice-Conversion-WebUI,RVC-Project,Organization,Python,38148,5266,572,15453,MIT,True,False,False,2023-03-27T09:59:10Z
dspy,stanfordnlp,Organization,Python,37871,3294,660,182119,MIT,True,False,False,2023-01-09T21:01:51Z
GFPGAN,TencentARC,Organization,Python,37673,6293,402,5467,NOASSERTION,True,False,False,2021-03-19T06:18:20Z
500-AI-Agents-Projects,ashishpatel26,User,Python,37560,6702,63,1744,MIT,True,False,False,2024-12-20T13:37:15Z
OpenVoice,myshell-ai,Organization,Python,37485,4200,308,3944,MIT,True,False,False,2023-11-29T12:17:01Z
Open-Assistant,LAION-AI,Organization,Python,37399,3277,296,35477,Apache-2.0,False,False,False,2022-12-13T05:24:17Z
maigret,soxoj,User,Python,37392,2914,35,26142,MIT,False,False,False,2020-06-27T14:16:42Z
Hello-Python,mouredev,User,Python,37330,2336,56,5715,Apache-2.0,True,False,False,2022-08-03T17:14:53Z
interview_internal_reference,0voice,Organization,Python,37247,9316,35,1161,,True,False,False,2019-06-10T06:54:19Z
gym,openai,Organization,Python,37236,8676,128,7125,NOASSERTION,True,False,True,2016-04-27T14:59:16Z
khoj,khoj-ai,Organization,Python,37227,2462,146,117280,AGPL-3.0,False,False,False,2021-08-16T01:48:44Z
textual,Textualize,Organization,Python,37176,1328,358,496942,MIT,True,False,False,2021-04-08T15:24:47Z
pytorch-image-models,huggingface,Organization,Python,37134,5192,61,31602,Apache-2.0,True,False,False,2019-02-02T05:51:12Z
wtfpython,satwikkansal,User,Python,37077,2661,72,1464,WTFPL,True,False,False,2017-08-28T20:22:19Z
MockingBird,babysor,User,Python,36908,5180,481,130787,NOASSERTION,True,False,False,2021-08-07T03:53:39Z
VoxCPM,OpenBMB,Organization,Python,36869,4199,116,4120,Apache-2.0,False,False,False,2025-09-16T03:41:49Z
